school,canonical_name,abbreviation,nicknames,city,state,conference,latitude,longitude,population,stadium_capacity
Nevada,University of Nevada Reno,unr,Wolf Pack,Reno,Nevada,Mountain West,39.5441917,-119.816397,457667,None
Las Vegas,University of Nevada Las Vegas,unlv,Rebels,Las Vegas,Nevada,Mountain West,36.1085197,-115.1431709,2155664,None
New Mexico,University of New Mexico,unm,Lobos,Albuquerque,New Mexico,Mountain West,35.0843187,-106.6197812,909906,None
New Mexico State,New Mexico State University,nmsu,Aggies,Las Cruces,New Mexico,Sun Belt,32.2787745,-106.7479059,214207,None
North Carolina,University of North Carolina,unc,Tar Heels,Chapel Hill,North Carolina,ACC,35.9049122,-79.0469134,559535,None
North Carolina State,North Carolina State University,ncsu,Wolfpack,Raleigh,North Carolina,ACC,35.7846633,-78.6820946,1302946,None
North Texas,University of North Texas,unt,Mean Green,Denton,Texas,C-USA,33.207488,-97.1525862,144,None
Northern Illinois,Northern Illinois University,niu,Huskies,DeKalb,Illinois,MAC,41.934233,-88.774069,43194,None
Northwestern,Northwestern University,nwu,Wildcats,Evanston,Illinois,Big Ten,45.031563,-93.168573,20773,None
Notre Dame,University of Notre Dame,nd,Fighting Irish,South Bend,Indiana,Independent,41.7055716,-86.2353388,320740,None
Ohio,Ohio University,uo,Bobcats,Athens,Ohio,MAC,39.324358,-82.1013889,52850,None
Ohio State,Ohio State University,tosu,Buckeyes,Columbus,Ohio,Big Ten,40.0141905,-83.0309143,59602,None
Oklahoma,University of Oklahoma,uo,Sooners,Norman,Oklahoma,Big 12,35.2058936,-97.4457137,43,None
Oklahoma State,Oklahoma State University,osu,Cowboys,Stillwater,Oklahoma,Big 12,36.1270236,-97.0737222,81131,None
Old Dominion,Old Dominion University,odu,Monarchs,Norfolk,Virginia,C-USA,36.8856104,-76.3067777,48118,None
Oregon,University of Oregon,uo,Ducks,Eugene,Oregon,Pac-12,44.0448302,-123.0726055,369519,None
Oregon State,Oregon State University,osu,Beavers,Corvallis,Oregon,Pac-12,44.5637806,-123.2794443,89385,None
Penn State,Penn State University,psu,Nittany Lions,State College,Pennsylvania,Big Ten,40.7982133,-77.8599084,161464,None
Pittsburgh,University of Pittsburgh,pitt,Panthers,Pittsburgh,Pennsylvania,ACC,40.4443533,-79.960835,2342299,None
Purdue,Purdue University,pu,Boilermakers,West Lafayette,Indiana,Big Ten,40.4237054,-86.9211946,216679,None
Rice,Rice University,rice,Owls,Houston,Texas,C-USA,29.7173941,-95.4018312,6772470,None
Rutgers,Rutgers University,ru,Scarlet Knights,Piscataway,New Jersey,Big Ten,40.4981958,-74.4467958,10000000,None
San Diego State,San Diego State University,sdsu,Aztecs,San Diego,California,Mountain West,32.7757217,-117.0718893,3317749,None
San Jose State,San Jose State University,sjsu,Spartans,San Jose,California,Mountain West,37.3351874,-121.8810715,1978816,None
South Alabama,University of South Alabama,usa,Jaguars,Mobile,Alabama,Sun Belt,30.6959406,-88.184236,414836,None
South Carolina,University of South Carolina,usc,Gamecocks,Columbia,South Carolina,SEC,33.996112,-81.0274276,176594,None
South Florida,University of South Florida,usf,Bulls,Tampa,Florida,American,28.0587031,-82.4138539,3032171,None
Southern California,University of Southern California,usc,Trojans,Los Angeles,California,Pac-12,34.0223519,-118.285117,13310447,None
Southern Methodist,Southern Methodist University,smu,Mustangs,University Park,Texas,American,32.8412178,-96.7845175,7052,None
Southern Miss,University of Southern Mississippi,smu,Golden Eagles,Hattiesburg,Mississippi,C-USA,31.3303296,-89.3356963,149138,None
Stanford,Stanford University,su,Cardinal,Stanford,California,Pac-12,37.4274745,-122.169719,3662,None
Syracuse,Syracuse University,su,Orange,Syracuse,New York,ACC,43.0391534,-76.1351158,656510,None
Texas Christian,Texas Christian University,tcu,Horned Frogs,Fort Worth,Texas,Big 12,32.70953,-97.362795,7233323,None
Temple,Temple University,tu,Owls,Philadelphia,Pennsylvania,American,39.9811935,-75.1553512,6070500,None
Tennessee,University of Tennessee Knoxville,ut,Volunteers,Knoxville,Tennessee,SEC,35.9544013,-83.9294564,868546,None
Texas,University of Texas Austin,ut,Longhorns,Austin,Texas,Big 12,30.2849185,-97.7340567,2056405,None
Texas A&M,Texas A&M University,tamu,Aggies,College Station,Texas,SEC,30.2849185,-97.7340567,254928,None
Texas State,Texas State University,tsu,Bobcats,San Marcos,Texas,Sun Belt,29.888411,-97.938351,61980,None
Texas Tech,Texas Tech University,ttu,Red Raiders,Lubbock,Texas,Big 12,33.5842591,-101.8782822,314840,None
Texas El Paso,University of Texas El Paso,utep,Miners,El Paso,Texas,C-USA,31.7708544,-106.5046216,841971,None
Texas San Antonio,University of Texas San Antonio,utsa,Roadrunners,San Antonio,Texas,C-USA,29.5830446,-98.6196556,2429609,None
Toledo,University of Toledo,ut,Rockets,Toledo,Ohio,MAC,41.6580307,-83.6140701,605221,None
Troy,Troy University,tu,Trojans,Troy,Alabama,Sun Belt,31.8018895,-85.9572283,33286,None
Tulane,Tulane University,tu,Green Wave,New Orleans,Louisiana,American,29.9403477,-90.1207279,1268883,None
Tulsa,Tulsa University,ut,Golden Hurricane,Tulsa,Oklahoma,American,36.1519879,-95.946,987201,None
Utah,University of Utah,uu,Utes,Salt Lake City,Utah,Pac-12,40.7649368,-111.8421021,1186187,None
Utah State,Utah State University,usu,Aggies,Logan,Utah,Mountain West,41.745161,-111.8097425,33700,None
Vanderbilt,Vanderbilt University,vu,Commodores,Nashville,Tennessee,SEC,36.1447034,-86.8026551,1865298,None
Virginia,University of Virginia,uva,Cavaliers,Charlottesville,Virginia,ACC,38.0335529,-78.5079772,231349,None
Virginia Tech,Virginia Polytechnic and State University,vtu,Hokies,Blacksburg,Virginia,ACC,37.2283843,-80.4234167,182876,None
Wake Forest,Wake Forest University,wfu,Demon Deacons,Winston-Salem,North Carolina,ACC,36.1352495,-80.2763425,662079,None
Washington,University of Washington,uw,Huskies,Seattle,Washington,Pac-12,47.6553351,-122.3035199,3798902,None
Washington State,Washington State University,wsu,Cougars,Pullman,Washington,Pac-12,46.7319225,-117.1542121,48851,None
West Virginia,West Virginia University,wvu,Mountaineers,Morgantown,West Virginia,Big 12,39.6361396,-79.9559358,138380,None
Western Kentucky,Western Kentucky University,wku,Hilltoppers,Bowling Green,Kentucky,C-USA,36.9853543,-86.456138,171122,None
Western Michigan,Western Michigan University,wmu,Broncos,Kalamazoo,Michigan,MAC,42.2837336,-85.6102507,336877,None
Wisconsin,University of Wisconsin,uw,Badgers,Madison,Wisconsin,Big Ten,43.076592,-89.4124875,45904,None
Wyoming,University of Wyoming,uw,Cowboys,Laramie,Wyoming,Mountain West,41.3148754,-105.5665744,38256,None
